table,field_name,field_key,reads,writes,searches,unused,contexts,ambiguity
FAQ,category,category_custom_q_a_category,1,2,1,,elem:faq; elem:r_admin_faq,
FAQ,is_show?,show_boolean,2,2,1,,elem:faq; elem:r_admin_faq,
FAQ,order,index1_number,8,5,4,,elem:faq; elem:r_admin_faq,
FAQ,question,q_text,5,2,0,,elem:faq; elem:r_admin_faq,
FV,__page,page_boolean,8,4,0,,elem:r_admin_news; page:legal; page:mypage,"キー共有: News, Banner"
FV,external_url,external_url_text,31,4,0,,elem:news; elem:r_admin_fv; elem:r_admin_news; elem:r_admin_topic; page:index; page:legal; page:mypage,"キー共有: News, Banner"
FV,image,image_image,21,4,0,,api:bulk_create_shop; api:change_shop_info; elem:r_admin_fv; elem:r_admin_topic; elem:r_shop_info; elem:shop; elem:topic; page:index; page:legal; page:mypage; page:shop_detail,"キー共有: shop, User, Banner"
FV,page_content,page_content_text,24,4,0,,elem:news; elem:r_admin_fv; elem:r_admin_news; elem:r_admin_topic; elem:topic; page:index; page:legal; page:mypage,"キー共有: News, Banner"
FV,title,title_text,22,4,0,,elem:faq; elem:news; elem:r_admin_faq; elem:r_admin_fv; elem:r_admin_news; elem:r_admin_topic; elem:topic; page:index; page:legal; page:mypage,"キー共有: FAQ, News, Banner, q&a_category"
log,is_error?,is_error__option_yes_no,0,0,0,未使用,,
log,row_text,text_text,0,1,0,,api:payjp_webhook_update_talent,
log,status,status_number,0,0,0,未使用,,
log,type,type_text,0,2,0,,api:payjp_webhook_charge_captured; api:payjp_webhook_update_talent,
log,wf,wf_text,0,0,0,未使用,,
m_holiday,__date,date_date,4,1,18,,elem:  r_shop_option; elem:r_admin_reservation; page:admin_update_calendar; page:bicycle_detail,"キー共有: sales_record, 自転車例外日, 12_holidays, オプション例外日, 26_holiday_master, __access_log"
m_holiday,__holiday,holiday_boolean,0,0,0,未使用,,
maintenance,__number,number_number,0,0,0,未使用,,
News,__content,content_text,1,1,0,,elem:r_admin_topic,キー共有: Banner
